customer.customerid,customer.number,customer.contract,customer.paperlessbilling,customer.paymentmethod,customer.gender,customer.seniorcitizen,customer.partner,customer.dependents,customer.internetservice,customer.onlinesecurity,customer.onlinebackup,customer.deviceprotection,customer.techsupport,customer.streamingtv,customer.streamingmovies,customer.tenure,customer.phoneservice,customer.multiplelines
4983-ZGEKO,768917629,Month-to-Month,Yes,Bank transfer (automatic),Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,52,No,No phone service
3302-ITENY,763871358,One Year,No,Mailed check,Female,0,No,No,DSL,No,No,No,No,No,No,45,Yes,Yes
8952-ZDHAA,768426121,Two Year,No,Mailed check,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,2,No,No phone service
8670-FJIHS,761446537,One Year,No,Bank transfer (automatic),Male,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,53,No,No phone service
4523-YGGIR,763871369,Month-to-Month,No,Credit card (automatic),Female,0,No,No,DSL,No,Yes,Yes,Yes,Yes,No,10,No,No phone service
0628-FPQTN,764362894,One Year,Yes,Credit card (automatic),Male,1,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,36,Yes,Yes
2560-EMRCQ,762691728,One Year,No,Mailed check,Female,1,No,Yes,DSL,Yes,Yes,No,Yes,No,No,18,No,No phone service
1375-BRVMV,760234130,One Year,Yes,Electronic check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,13,Yes,Yes
5419-NWPQE,766492818,Month-to-Month,Yes,Credit card (automatic),Male,1,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,65,No,No phone service
0643-LLAUV,760529046,Two Year,Yes,Credit card (automatic),Female,1,Yes,No,DSL,No,No,No,Yes,Yes,No,49,No,No phone service
3043-FFLCA,763543708,Month-to-Month,No,Mailed check,Female,1,No,No,DSL,No,Yes,Yes,No,No,No,28,No,No phone service
7588-GHFSN,767246492,One Year,Yes,Credit card (automatic),Female,0,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,53,No,No phone service
9767-QMOXU,769867934,One Year,Yes,Credit card (automatic),Male,1,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,27,Yes,No
9700-LRVVI,765804718,Two Year,No,Credit card (automatic),Male,0,Yes,Yes,DSL,No,No,Yes,No,Yes,No,31,No,No phone service
6758-IFDOO,761315510,Month-to-Month,No,Bank transfer (automatic),Male,1,No,Yes,DSL,No,No,Yes,No,Yes,No,4,No,No phone service
7121-LCZLB,764494010,One Year,Yes,Credit card (automatic),Male,1,Yes,No,DSL,Yes,No,No,No,Yes,No,66,Yes,No
2541-AOCVW,768196795,One Year,Yes,Electronic check,Male,0,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,1,Yes,Yes
6467-PSWGH,766623938,One Year,No,Credit card (automatic),Male,0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,46,No,No phone service
3086-ZMWQV,761938114,One Year,No,Credit card (automatic),Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,3,Yes,No
0965-ILEOL,765771974,One Year,No,Credit card (automatic),Male,0,No,Yes,DSL,No,No,No,Yes,No,No,1,No,No phone service
7744-AAESJ,767541449,Month-to-Month,Yes,Mailed check,Female,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,40,No,No phone service
0263-BBIBD,767770826,Month-to-Month,No,Mailed check,Female,0,No,Yes,DSL,No,No,No,No,No,No,42,Yes,Yes
4286-KDCDE,762527948,Month-to-Month,Yes,Mailed check,Female,1,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,6,No,No phone service
2925-LTISL,768196816,Month-to-Month,No,Bank transfer (automatic),Female,1,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,44,Yes,No
7901-EOREW,763936979,One Year,Yes,Bank transfer (automatic),Female,1,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,28,No,No phone service
6215-VPBBT,767672539,Month-to-Month,Yes,Bank transfer (automatic),Female,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,35,Yes,No
5691-EAGHF,765182173,Two Year,Yes,Credit card (automatic),Female,0,No,No,DSL,No,No,Yes,No,Yes,Yes,49,No,No phone service
0962-BFFKA,764264677,Two Year,Yes,Electronic check,Female,0,No,Yes,DSL,No,Yes,Yes,No,No,Yes,62,No,No phone service
8468-RQYCK,764231914,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,15,Yes,Yes
0276-CSWRX,765280495,Two Year,Yes,Bank transfer (automatic),Female,0,No,Yes,DSL,Yes,No,No,Yes,No,No,3,Yes,Yes
7562-UUSCV,762724601,Month-to-Month,Yes,Mailed check,Male,0,No,No,DSL,No,Yes,Yes,Yes,Yes,No,1,Yes,Yes
3270-ECWWO,763085056,Month-to-Month,Yes,Electronic check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,No phone service
4402-ACTHC,765280520,Month-to-Month,Yes,Mailed check,Male,0,No,Yes,DSL,No,No,No,Yes,No,Yes,46,Yes,No
1148-XATUU,767115534,Two Year,No,Bank transfer (automatic),Female,0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,33,No,No phone service
9770-PYGCA,761184535,One Year,Yes,Credit card (automatic),Male,0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,53,No,No phone service
1228-FRIKP,763052322,One Year,No,Electronic check,Male,1,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,30,Yes,No
7172-FMFSQ,760529187,One Year,Yes,Electronic check,Male,1,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,46,Yes,Yes
4371-JZSKJ,762429735,Two Year,Yes,Bank transfer (automatic),Male,1,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20,No,No phone service
4598-KIJMV,765772074,One Year,No,Mailed check,Male,0,No,No,DSL,No,Yes,No,Yes,Yes,No,59,Yes,No
1915-GVLUW,761348403,One Year,Yes,Electronic check,Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,13,No,No phone service
1822-EFAQW,760070454,Two Year,Yes,Electronic check,Female,1,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,60,Yes,No
9485-BJBRJ,769376575,One Year,No,Bank transfer (automatic),Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,53,Yes,Yes
4205-XAFDU,767738188,Month-to-Month,No,Mailed check,Female,0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,21,Yes,Yes
1130-GCBBS,766558542,Two Year,Yes,Bank transfer (automatic),Female,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,No,No phone service
9719-LUADN,760103247,Month-to-Month,No,Bank transfer (automatic),Male,0,No,No,DSL,Yes,No,Yes,No,No,No,27,No,No phone service
1282-XEGPJ,764100946,Two Year,Yes,Mailed check,Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,59,No,No phone service
6867-TMPFJ,767476051,Month-to-Month,Yes,Bank transfer (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,57,No,No phone service
3959-ZKYSZ,767770964,Two Year,Yes,Electronic check,Female,1,No,Yes,DSL,No,No,No,No,Yes,Yes,16,No,No phone service
6230-PLLID,768557394,One Year,Yes,Credit card (automatic),Male,1,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,29,No,No phone service
2103-VYKZA,762167638,Month-to-Month,Yes,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,Yes,No,Yes,No,No,No,45,Yes,No
1421-SYSKP,768852312,Two Year,No,Credit card (automatic),Male,1,No,Yes,DSL,No,Yes,Yes,Yes,No,No,26,Yes,Yes
3369-LSOZR,765215067,Two Year,Yes,Bank transfer (automatic),Male,1,No,Yes,Fiber Optic,Yes,No,No,No,No,No,10,Yes,No
0818-FDMSB,762364254,Two Year,No,Electronic check,Male,0,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,32,Yes,No
7500-TQGWK,765903205,Month-to-Month,No,Bank transfer (automatic),Male,1,No,No,DSL,No,Yes,No,Yes,No,No,28,Yes,Yes
4390-TQWFX,760922485,Month-to-Month,No,Credit card (automatic),Female,1,No,No,Fiber Optic,No,Yes,No,No,Yes,Yes,17,No,No phone service
5314-XRUDS,767345019,Month-to-Month,No,Credit card (automatic),Male,1,No,No,Fiber Optic,No,Yes,Yes,No,No,No,48,No,No phone service
0728-HIDKB,762495355,One Year,Yes,Bank transfer (automatic),Male,1,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,No
3758-ZTPBZ,764264832,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,59,Yes,No
5241-ORAVQ,765706625,Month-to-Month,No,Bank transfer (automatic),Male,0,Yes,No,DSL,No,No,No,No,No,No,24,No,No phone service
2824-ZCONR,766984578,Two Year,Yes,Bank transfer (automatic),Male,1,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,34,Yes,Yes
3224-GZFQG,761741703,Month-to-Month,No,Mailed check,Female,0,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,69,Yes,Yes
6624-SRSDI,763019657,Two Year,No,Bank transfer (automatic),Male,1,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,18,No,No phone service
7733-UEMNR,766460300,Month-to-Month,Yes,Credit card (automatic),Male,0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,22,No,No phone service
9648-IMVUZ,761807244,One Year,Yes,Mailed check,Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,14,No,No phone service
0590-KDHXM,767082899,One Year,Yes,Mailed check,Male,0,No,No,Fiber Optic,No,No,Yes,Yes,Yes,No,7,No,No phone service
9488-AXASM,765510060,One Year,No,Mailed check,Female,1,No,No,DSL,No,Yes,Yes,Yes,No,No,72,Yes,Yes
2284-UASOB,763150768,Two Year,Yes,Electronic check,Male,0,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,6,Yes,No
1083-LLORQ,760824241,One Year,No,Bank transfer (automatic),Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,67,Yes,No
4446-IQQNN,760791476,Month-to-Month,No,Bank transfer (automatic),Female,0,Yes,No,DSL,Yes,No,Yes,No,Yes,No,22,No,No phone service
4650-TZTAA,768459189,Month-to-Month,Yes,Mailed check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18,Yes,No
8471-NCEJH,762298810,Two Year,No,Credit card (automatic),Male,0,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,54,No,No phone service
8284-THUCN,761184701,One Year,Yes,Credit card (automatic),Female,1,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,61,No,No phone service
2812-HTSWA,761381319,One Year,No,Credit card (automatic),Female,1,No,No,DSL,No,Yes,Yes,No,No,Yes,67,Yes,Yes
7557-TUBAW,760922580,Month-to-Month,Yes,Credit card (automatic),Female,1,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,49,No,No phone service
7962-DJGCH,763806164,Two Year,Yes,Mailed check,Female,1,Yes,No,DSL,No,Yes,No,No,Yes,Yes,20,No,No phone service
4875-MUEPS,766198231,One Year,No,Electronic check,Female,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,41,Yes,Yes
3782-VFICW,765837784,Month-to-Month,No,Electronic check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,58,Yes,No
7261-NPVGW,769180120,One Year,Yes,Bank transfer (automatic),Male,0,Yes,No,Fiber Optic,No,Yes,No,Yes,No,No,26,No,No phone service
5578-OEZLI,765805026,Two Year,Yes,Credit card (automatic),Male,1,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,23,No,No phone service
9473-EKYDD,764199396,One Year,No,Electronic check,Female,1,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,42,Yes,No
9652-IISSR,762659300,One Year,Yes,Bank transfer (automatic),Male,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,9,Yes,No
3076-TFOEN,762003942,One Year,No,Electronic check,Male,0,No,Yes,DSL,Yes,Yes,No,Yes,No,No,26,No,No phone service
6181-KPWCU,765444599,One Year,No,Electronic check,Male,1,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,56,Yes,Yes
7173-JXYQQ,767443450,Month-to-Month,No,Bank transfer (automatic),Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,33,Yes,Yes
3370-EOQXJ,764297725,Two Year,Yes,Bank transfer (automatic),Male,0,Yes,Yes,DSL,No,No,Yes,No,No,No,33,Yes,Yes
0631-LVMUN,762135043,Two Year,Yes,Mailed check,Male,1,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,40,No,No phone service
8171-UBYFR,761807364,Two Year,Yes,Mailed check,Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,55,No,No phone service
5207-VOYSO,766755334,Two Year,No,Mailed check,Female,0,No,No,DSL,Yes,Yes,No,No,Yes,No,56,Yes,No
5704-NINLT,769835526,One Year,Yes,Mailed check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,25,No,No phone service
7782-XNCUL,765051399,One Year,Yes,Electronic check,Female,1,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,63,Yes,No
7000-DOOBU,769016330,Two Year,No,Bank transfer (automatic),Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,63,Yes,Yes
1472-EHFMU,766755342,Two Year,No,Bank transfer (automatic),Female,1,No,Yes,DSL,Yes,No,Yes,No,No,No,29,No,No phone service
2443-AAAIT,768197137,Month-to-Month,No,Credit card (automatic),Female,0,No,No,DSL,Yes,No,No,Yes,No,Yes,46,Yes,Yes
7785-GVCIB,761807378,One Year,Yes,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,No,No,No,No,No,No,45,Yes,No
6941-RJTQV,768000531,Month-to-Month,No,Bank transfer (automatic),Female,1,No,No,DSL,No,No,Yes,No,Yes,No,49,No,No phone service
5063-PBTMJ,762987027,Two Year,Yes,Bank transfer (automatic),Female,1,Yes,No,DSL,No,Yes,Yes,No,No,Yes,67,No,No phone service
6877-EANCF,766460447,One Year,Yes,Electronic check,Female,0,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,52,Yes,No
1633-JPRUV,765968927,One Year,Yes,Bank transfer (automatic),Female,1,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,51,Yes,Yes
8363-MWTXK,764068389,One Year,No,Electronic check,Male,1,No,No,Fiber Optic,No,Yes,No,No,Yes,Yes,51,No,No phone service
0549-MNPHW,765379110,Month-to-Month,Yes,Credit card (automatic),Female,1,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,21,Yes,Yes
2981-NTUIY,763150889,Month-to-Month,No,Credit card (automatic),Female,0,No,Yes,DSL,Yes,No,No,Yes,No,No,45,No,No phone service
3595-XKURR,766001706,Two Year,Yes,Credit card (automatic),Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19,Yes,Yes
4363-UCWZM,760627756,Two Year,No,Bank transfer (automatic),Female,0,No,Yes,Fiber Optic,Yes,No,Yes,No,No,No,27,Yes,Yes
5067-FSPJA,762561068,One Year,No,Electronic check,Female,1,No,No,DSL,Yes,No,No,No,Yes,Yes,1,No,No phone service
8527-KOYRW,769966638,One Year,Yes,Bank transfer (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,32,No,No phone service
6226-RFVWM,764953135,One Year,No,Electronic check,Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,44,No,No phone service
4692-TCMPQ,763970097,One Year,No,Mailed check,Female,0,No,Yes,Fiber Optic,No,No,No,Yes,No,No,22,Yes,Yes
6546-FKQPQ,761479745,Two Year,Yes,Mailed check,Male,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,43,No,No phone service
6272-RUODO,764265026,Month-to-Month,No,Bank transfer (automatic),Female,1,Yes,No,DSL,Yes,No,No,No,No,Yes,61,Yes,No
2302-YNWNJ,764625477,One Year,Yes,Electronic check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,59,No,No phone service
0865-FIJJA,761315912,Two Year,Yes,Electronic check,Male,0,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,27,Yes,Yes
7125-PTOUF,762004041,Two Year,No,Bank transfer (automatic),Male,1,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,71,No,No phone service
4132-TDOYS,768524881,One Year,Yes,Mailed check,Female,1,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,7,Yes,Yes
7132-MNDHK,764166742,One Year,No,Electronic check,Female,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,69,No,No phone service
7817-DUDJO,760595037,Two Year,Yes,Electronic check,Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,61,Yes,Yes
9042-CWFML,763609694,Two Year,No,Bank transfer (automatic),Male,1,No,No,DSL,No,No,Yes,Yes,No,Yes,50,No,No phone service
9116-YTHUB,763708011,Two Year,No,Bank transfer (automatic),Male,1,No,No,DSL,No,No,No,Yes,No,Yes,55,No,No phone service
6039-RTSSD,766394988,One Year,Yes,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,70,Yes,Yes
6828-JDFVM,760562288,Two Year,Yes,Credit card (automatic),Male,0,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,36,No,No phone service
7761-MUYRZ,764592752,Two Year,No,Electronic check,Male,0,No,No,DSL,No,Yes,Yes,Yes,Yes,No,16,Yes,No
2018-ECLGK,769704563,Two Year,No,Mailed check,Female,0,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,37,Yes,No
1274-EUGZH,766689913,Two Year,No,Mailed check,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,31,Yes,No
4481-DXIWN,768983675,One Year,Yes,Credit card (automatic),Female,0,No,No,DSL,Yes,Yes,No,Yes,No,No,27,No,No phone service
1068-ZKXQM,761741949,Two Year,No,Mailed check,Female,1,No,No,DSL,Yes,Yes,Yes,No,No,Yes,44,No,No phone service
2480-EMGMD,762495624,Month-to-Month,No,Bank transfer (automatic),Male,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18,No,No phone service
3004-GYUIV,769311368,Two Year,No,Credit card (automatic),Male,0,No,No,DSL,No,Yes,No,No,No,Yes,47,No,No phone service
9970-KYTKQ,763150989,One Year,Yes,Bank transfer (automatic),Female,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,27,Yes,No
0318-KJUIA,760398478,Two Year,Yes,Electronic check,Male,1,No,Yes,DSL,No,No,No,Yes,Yes,No,30,No,No phone service
6901-YPLVC,762495629,One Year,Yes,Bank transfer (automatic),Female,1,Yes,No,DSL,No,No,No,Yes,No,Yes,38,Yes,No
5057-XTAAC,765346450,Two Year,No,Credit card (automatic),Female,0,Yes,Yes,DSL,No,Yes,No,No,Yes,No,38,Yes,No
0987-DMQVH,764166802,Month-to-Month,Yes,Bank transfer (automatic),Female,1,No,No,DSL,No,Yes,No,No,No,Yes,16,No,No phone service
3772-ETDVZ,769507994,Two Year,Yes,Bank transfer (automatic),Female,0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,71,No,No phone service
5834-LBHCR,761905820,Two Year,No,Bank transfer (automatic),Male,0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,2,No,No phone service
9279-TFJTH,762069661,One Year,Yes,Bank transfer (automatic),Male,1,Yes,No,DSL,Yes,No,No,No,Yes,Yes,7,Yes,No
4228-VUUGU,761512605,Month-to-Month,No,Mailed check,Female,0,No,Yes,DSL,Yes,No,Yes,No,Yes,No,4,No,No phone service
9687-WBZQV,765706912,Month-to-Month,No,Credit card (automatic),Female,1,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,46,Yes,Yes
1325-XLHUB,763314848,Month-to-Month,Yes,Bank transfer (automatic),Female,0,No,Yes,DSL,Yes,Yes,Yes,No,No,No,49,No,No phone service
1513-NBXAQ,766493353,Two Year,Yes,Mailed check,Female,1,No,No,Fiber Optic,Yes,No,Yes,No,No,No,62,No,No phone service
4473-JVWLN,761086636,One Year,Yes,Mailed check,Female,1,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,61,Yes,No
8236-AWEKO,760234669,Month-to-Month,No,Electronic check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,25,Yes,Yes
8947-GSPHL,764625587,One Year,Yes,Bank transfer (automatic),Female,0,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,72,Yes,No
9381-MQNYA,762233531,One Year,Yes,Electronic check,Male,1,Yes,No,DSL,Yes,No,No,No,No,Yes,55,Yes,No
8866-HRHDB,765510333,One Year,Yes,Bank transfer (automatic),Female,0,No,No,DSL,No,Yes,Yes,No,Yes,No,10,Yes,Yes
9426-XURFU,765510341,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,70,Yes,No
3940-ONMYX,762725062,One Year,Yes,Credit card (automatic),Male,0,No,No,DSL,Yes,Yes,No,No,No,Yes,38,No,No phone service
4854-SYSEP,763314886,One Year,No,Electronic check,Female,1,Yes,No,DSL,Yes,No,Yes,Yes,No,No,42,Yes,No
9153-BRUTC,769508040,Two Year,Yes,Electronic check,Female,0,No,No,DSL,No,No,No,No,Yes,No,53,No,No phone service
3070-GKNWQ,764854984,Month-to-Month,No,Bank transfer (automatic),Female,1,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,21,No,No phone service
5765-MSQYD,762135239,Two Year,Yes,Bank transfer (automatic),Female,0,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,3,Yes,Yes
3492-PCHIJ,764396246,Two Year,Yes,Mailed check,Male,0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,34,Yes,No
0930-PATIF,761086681,Month-to-Month,Yes,Credit card (automatic),Female,1,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,22,Yes,Yes
4774-EBNHW,769147612,One Year,Yes,Electronic check,Male,0,No,No,DSL,Yes,Yes,Yes,No,No,Yes,33,Yes,Yes
7109-LBHOC,767673053,Month-to-Month,Yes,Electronic check,Female,1,No,Yes,Fiber Optic,No,No,Yes,No,No,No,38,Yes,No
2868-TYYVR,766558942,One Year,Yes,Bank transfer (automatic),Male,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,68,Yes,Yes
6575-VVVJB,761086687,Two Year,Yes,Credit card (automatic),Female,0,Yes,Yes,DSL,No,No,No,Yes,No,Yes,1,No,No phone service
1177-UQVUM,761381600,Two Year,No,Bank transfer (automatic),Female,1,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,42,No,No phone service
2991-ZEMUV,760169187,One Year,No,Bank transfer (automatic),Female,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,17,Yes,Yes
6152-YLPYW,769508076,Month-to-Month,Yes,Credit card (automatic),Male,1,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,12,Yes,No
1738-WVUSF,769540846,Two Year,No,Bank transfer (automatic),Female,1,No,No,DSL,No,No,Yes,Yes,Yes,Yes,54,No,No phone service
2663-IQQOX,766001903,Month-to-Month,Yes,Mailed check,Female,1,No,No,Fiber Optic,Yes,No,No,Yes,No,No,14,No,No phone service
4570-GYGZU,766591733,Two Year,Yes,Electronic check,Male,1,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,11,Yes,Yes
6746-JKLUV,763216632,Two Year,No,Bank transfer (automatic),Male,1,No,No,DSL,Yes,No,No,Yes,No,No,22,No,No phone service
3971-TNCSL,764887802,Two Year,No,Bank transfer (automatic),Female,0,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,44,Yes,No
8187-RFKMG,768819962,Two Year,No,Electronic check,Female,0,Yes,No,DSL,Yes,No,No,Yes,No,No,22,Yes,Yes
5601-WOACS,766362365,Two Year,No,Credit card (automatic),Male,1,No,No,DSL,Yes,Yes,Yes,Yes,No,No,38,Yes,Yes
2590-ENRUW,764986110,Two Year,Yes,Credit card (automatic),Female,1,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,43,Yes,No
5704-PDGND,763708160,Two Year,No,Electronic check,Male,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,5,No,No phone service
9907-YBLDM,765739779,One Year,Yes,Bank transfer (automatic),Female,1,No,Yes,DSL,Yes,Yes,No,No,No,Yes,21,No,No phone service
4375-BTQIR,762823429,One Year,No,Credit card (automatic),Male,1,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,33,Yes,Yes
5391-FNHXY,767607557,One Year,Yes,Mailed check,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,7,Yes,No
2670-VTIWE,763577101,Month-to-Month,No,Bank transfer (automatic),Female,1,No,Yes,Fiber Optic,No,No,Yes,No,No,No,52,No,No phone service
1005-JDRFL,766329617,One Year,Yes,Mailed check,Male,0,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,57,Yes,Yes
8584-YPELM,762921749,Two Year,Yes,Bank transfer (automatic),Male,1,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,15,Yes,No
5547-IPQOT,764003106,Two Year,No,Bank transfer (automatic),Female,0,No,No,Fiber Optic,No,No,No,Yes,Yes,Yes,53,Yes,No
7680-BIHSF,764199724,Two Year,No,Electronic check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,30,Yes,No
7656-NXSKB,763183929,Two Year,No,Bank transfer (automatic),Male,1,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,40,Yes,Yes
2780-RMJWZ,766493501,Two Year,No,Electronic check,Male,0,No,Yes,DSL,No,No,Yes,No,Yes,Yes,22,No,No phone service
0431-JGLWJ,767837001,One Year,No,Electronic check,Male,0,No,Yes,DSL,No,Yes,No,No,Yes,Yes,23,Yes,No
9113-WMJLR,760300364,Month-to-Month,Yes,Electronic check,Male,1,Yes,Yes,DSL,Yes,No,No,Yes,No,No,9,No,No phone service
5196-ZJCAT,768983884,One Year,No,Bank transfer (automatic),Female,1,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,37,Yes,No
6826-UMYNO,765772621,One Year,No,Bank transfer (automatic),Male,0,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,27,Yes,Yes
4003-GJHCT,760890193,Two Year,No,Mailed check,Male,1,No,No,DSL,Yes,No,Yes,Yes,No,Yes,5,Yes,No
5370-VIGBV,767640406,Month-to-Month,Yes,Credit card (automatic),Male,1,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,62,Yes,No
5975-GCAQY,760136536,One Year,Yes,Electronic check,Male,1,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,53,Yes,Yes
